entry_id;language_code;german_section;german_chapter;german_subsection;german_clinical_situation;german_recommendation
45;de;Biochemie;2.5 Endokrin-bezogen (für schwangerschaftsbezogene Endokrinologie siehe 2.12);;Nachsorge von Patienten die ein medulläres Schilddrüsenkarzinom und chirurgische Resektion hatten;Ein Baseline-CEA und nüchtern-Calcitonin sollte vor der Operation genommen werden. Postoperative Proben sollten nicht früher als 15 Tage nach Thyreoidektomie gemessen werden und Plasma-Calcitonin-Konzentrationen sind am aussagekräftigsten sechs Monate nach der Operation Mindestens vier Messungen von Calcitonin über einen zwei- bis dreijährigen Zeitraum können genommen werden um eine genaue Schätzung der Calcitonin-Verdoppelungszeit zu liefern. CEA ist bei etwa 30% der MTC-Patienten erhöht und bei diesen Patienten ist die CEA-Verdoppelungszeit vergleichbar informativ zur Calcitonin-Verdoppelungszeit Calcitonin-Überwachung sollte lebenslang fortgesetzt werden TFTs sollten gemäß Leitlinien für Hypothyreose gemessen werden
46;de;Biochemie;2.5 Endokrin-bezogen (für schwangerschaftsbezogene Endokrinologie siehe 2.12);;Anaplastisches Schilddrüsenkarzinom;Es besteht keine Notwendigkeit für eine Überwachung der Schilddrüsenfunktion außer der Patient ist auf Schilddrüsenersatztherapie, dann gemäß Hypothyreose
47;de;Biochemie;2.5 Endokrin-bezogen (für schwangerschaftsbezogene Endokrinologie siehe 2.12);;Patienten unter Amiodaron;Sollten Schilddrüsenfunktion vor Behandlungsbeginn testen lassen und dann routinemäßig alle sechs Monate danach überwacht werden während der Behandlung und bis zu 12 Monate nach Beendigung der Therapie
48;de;Biochemie;2.5 Endokrin-bezogen (für schwangerschaftsbezogene Endokrinologie siehe 2.12);;Patienten unter Lithium;Schilddrüsenfunktion vor Behandlungsbeginn testen und dann routinemäßig alle sechs bis 12 Monate während der Behandlung überwachen
49;de;Biochemie;2.5 Endokrin-bezogen (für schwangerschaftsbezogene Endokrinologie siehe 2.12);;Progesteron-Testung bei Frauen mit verlängerten unregelmäßigen Menstruationszyklen;Wöchentliche Testung bei Patienten mit unregelmäßigem Zyklus ab Tag 21 bis zur nächsten Menstruation
50;de;Biochemie;2.5 Endokrin-bezogen (für schwangerschaftsbezogene Endokrinologie siehe 2.12);;Diagnose vorzeitiger Ovarialinsuffizienz bei Frauen unter 40 Jahren mit möglichen menopausalen Symptomen;Zwei Tests vier bis sechs Wochen auseinander bei Frauen mit möglicher früher oder vorzeitiger Menopause
51;de;Biochemie;2.5 Endokrin-bezogen (für schwangerschaftsbezogene Endokrinologie siehe 2.12);;Patienten mit vermuteter medikamenteninduzierter Hyperprolaktinämie;Medikament für drei Tage absetzen und Prolaktin erneut messen
52;de;Biochemie;2.5 Endokrin-bezogen (für schwangerschaftsbezogene Endokrinologie siehe 2.12);;Patienten mit Hyperprolaktinämie die Dopaminagonist-Therapie beginnen;Prolaktin-Messung nach einem Monat wiederholen zur Therapiesteuerung53
54;de;Biochemie;2.5 Endokrin-bezogen (für schwangerschaftsbezogene Endokrinologie siehe 2.12);;Diabetes-Diagnose mittels HbA1c bei einem asymptomatischen Patienten (nicht bei Kindern oder jungen Erwachsenen zu verwenden);Die Diagnose sollte nicht auf Basis eines einzelnen abnormalen Plasma-Glucose- oder HbA1c-Werts gestellt werden. Mindestens ein zusätzliches HbA1c- oder Plasma-Glucose-Testergebnis mit einem Wert im diabetischen Bereich ist innerhalb von zwei Wochen nach der ersten Messung erforderlich, entweder nüchtern, aus einer zufälligen (gelegentlichen) Probe oder aus dem OGTT
55;de;Biochemie;2.5 Endokrin-bezogen (für schwangerschaftsbezogene Endokrinologie siehe 2.12);;HbA1c-Überwachung von Patienten mit Typ-2-Diabetes;"Zwei- bis sechsmonatige Intervalle (auf individuelle Bedürfnisse zugeschnitten) bis die Blutzuckerkonzentration bei unveränderter Therapie stabil ist; eine Messung in einem Intervall von weniger als drei Monaten als Indikator für die Richtung der Veränderung verwenden, nicht als neuen stabilen Zustand Sechsmonatige Intervalle sobald die Blutzuckerkonzentration und blutzuckersenkende Therapie stabil sind"
56;de;Biochemie;2.5 Endokrin-bezogen (für schwangerschaftsbezogene Endokrinologie siehe 2.12);;Diagnose männlicher Androgendefizit;Wiederholung der Testosteron-Messung zur Bestätigung der Diagnose empfohlen
57;de;Biochemie;2.5 Endokrin-bezogen (für schwangerschaftsbezogene Endokrinologie siehe 2.12);;Überwachung männlicher Patienten mit Androgendefizit unter Ersatztherapie;Testosteron-Wert drei bis sechs Monate nach Beginn der Testosteron-Therapie messen Testosteron alle drei bis vier Monate im ersten Jahr messen Messung von PSA. Bitte siehe B-TM7
58;de;Biochemie;2.5 Endokrin-bezogen (für schwangerschaftsbezogene Endokrinologie siehe 2.12);;Weiblicher Androgenüberschuss;Falls Testosteron-Messung durch eine Immunoassay-Methode erhöht gefunden wurde, Messung mit einer LCMS-Methode bestätigen Danach sollte die Messung jährlich wiederholt werden
59;de;Biochemie;2.5 Endokrin-bezogen (für schwangerschaftsbezogene Endokrinologie siehe 2.12);;Östradiol;Keine Evidenz, Leitlinie oder Konsens existiert für Wiederholungsfrequenz Für Patienten die IVF durchlaufen können Proben täglich genommen werden Für Patienten die Implantat-Behandlung (HRT) erhalten wird ein Prä-Implantat-Wert kontrolliert um Tachyphylaxie zu vermeiden. Frequenz hängt von Implantat-Frequenz ab Für Patienten die Implantat-Behandlung erhalten wird ein Prä-Implantat-Wert kontrolliert um Tachyphylaxie zu vermeiden
60;de;Biochemie;2.5 Endokrin-bezogen (für schwangerschaftsbezogene Endokrinologie siehe 2.12);;Wachstumshormonmangel;IGF-1 ist der nützlichste Marker für die Überwachung und sollte mindestens jährlich gemessen werden. Die Bewertung sollte nicht früher als sechs Wochen nach einer Dosisänderung durchgeführt werden
61;de;Biochemie;2.5 Endokrin-bezogen (für schwangerschaftsbezogene Endokrinologie siehe 2.12);;Akromegalie: nach Operation Akromegalie: medizinische Therapie Akromegalie: medizinische Therapie mit GH-Rezeptor-Antagonisten Akromegalie: nach Strahlentherapie;Sowohl GH als auch IGF-1 nach drei Monaten messen. Falls normal, dann bei jährlicher Nachsorge Sowohl GH als auch IGF-1 nach drei Monaten messen. Falls normal, dann bei jährlicher Nachsorge Nur IGF-1 in sechsmonatigen Abständen nach Dosistitration messen. Monatliche Überwachung der LFTs für die ersten sechs Monate Messung von GH und IGF-1 jährlich
62;de;Biochemie;2.6 Kardial;;Troponin verwenden: allgemein Troponin verwenden: ACS Troponin verwenden: Herzchirurgie Troponin verwenden: Nierenversagen;MRI weitgehend abhängig vom verwendeten Hersteller-Assay und dem klinischen Szenario. MRI sollte gemäß dem verwendeten lokalen Protokoll implementiert werden Algorithmen die mit hochsensitiven Troponin-Assays entwickelt wurden erfordern üblicherweise mehrere Proben. Eine zweite Probe ist ein bis zwei Stunden nach Vorstellung erforderlich. Die Sensitivität für Myokardinfarkt ist fast 100% Für Standard-Troponin-Assays: falls die erste Blutprobe für Troponin nicht erhöht ist, sollte eine zweite Probe nach sechs bis neun Stunden gewonnen werden. Manchmal ist eine dritte Probe nach 12–24 Stunden erforderlich Einzelmessung 24 Stunden nach Operation gibt beste Korrelation mit Ergebnis. Serielle Proben gerechtfertigt falls sich der klinische Zustand verschlechtert und/oder neue EKG-Veränderungen zur ACS-Bewertung Troponin-Konzentrationen sind üblicherweise bei CKD-Patienten erhöht (besonders bei hochsensitiven Assays). Serielle Proben werden bei vermutetem ACS wie oben erforderlich sein
63;de;Biochemie;2.6 Kardial;;BNP (NT-ProBNP) verwenden: Primärversorgung (Herzinsuffizienz-Triage) Sekundärversorgung (akute Insuffizienz) Therapeutische Führung bei Herzinsuffizienz;Sollte nur einmal gemessen werden außer es gibt eine wiederholte Episode von vermuteter Herzinsuffizienz mit einer Änderung in der klinischen Präsentation und die Diagnose Herzinsuffizienz wurde zuvor ausgeschlossen. Einzelzeitpunkt-Verwendung ausreichend für NICE-Leitlinien-Zwecke Bei Personen die sich mit neuer vermuteter akuter Herzinsuffizienz vorstellen, eine einzelne Messung von Serum-natriuretischen Peptiden (BNP oder NT-ProBNP) verwenden NT-ProBNP-Messung als Teil eines Behandlungsoptimierungsprotokolls nur in spezialisierter Versorgungsumgebung für Personen unter 75 Jahren mit Herzinsuffizienz mit reduzierter Ejektionsfraktion und einer eGFR über 60 ml/min/1.73 m2 erwägenederholungsmessung von Vitamin B12 und Folat ist bei Patienten mit Vitamin B12- und Folatmangel unnötig Jedoch kann Vitamin B12 ein bis zwei Monate nach Behandlungsbeginn gemessen werden falls keine Antwort vorliegt FBC und Retikulozytenzahl zehn Tage nach Behandlung auf Antwort kontrollieren. Sobald Hb normalisiert ist
74;de;Biochemie;2.8 Spezifische Proteine;;Paraproteine;Testung in dreimonatigen Abständen anfänglich
75;de;Biochemie;2.8 Spezifische Proteine;;Patienten ohne Merkmale einer Plasmazell-Dyskrasie (z.B. Anämie, Knochenfraktur oder knochenlokalisierte Schmerzen, Suppression anderer Immunglobulin-Klassen, Nierenbeeinträchtigung) und einer Bande von <15 g/L;Jährliche Serum-Protein-Elektrophorese und Quantifizierung durch Densitometrie ohne Bedarf für weitere Immunfixation wird empfohlen
76;de;Biochemie;2.8 Spezifische Proteine;;Monoklonale Gammopathie unbestimmter Bedeutung;Test in drei- bis viermonatigen Abständen innerhalb des ersten Jahres der Identifikation. Dann sechs bis 12 monatlich solange keine Progressionssymptome
77;de;Biochemie;2.8 Spezifische Proteine;;Immunglobuline;Patienten unter Immunglobulin-Ersatztherapie müssen Talspiegel-IgG-Konzentrationen und Leberfunktionstests mindestens vierteljährlich durchgeführt bekommen
78;de;Biochemie;2.8 Spezifische Proteine;;Immunglobuline;Für andere Zwecke wird Testung in einem Mindestintervall von sechs Monaten empfohlen
79;de;Biochemie;2.8 Spezifische Proteine;;Myelom-Patienten unter aktiver Behandlung;Lokale Leitlinien und Behandlungsregime sollten befolgt werden beim Anfordern von Paraprotein-Konzentrationen für Patienten unter aktiver Behandlung
80;de;Biochemie;2.8 Spezifische Proteine;;CRP;Sollte nicht innerhalb eines 24-Stunden-Zeitraums nach einer ersten Anfrage erneut getestet werden mit Ausnahme pädiatrischer Anfragen
81;de;Biochemie;2.8 Spezifische Proteine;;Procalcitonin;24 Stunden
82;de;Biochemie;2.9 Tumormarker;;α-Fetoprotein für HCC-Überwachung: Screening von Patienten mit hohem HCC-Risiko;Sechs Monate (UK)
83;de;Biochemie;2.9 Tumormarker;;α-Fetoprotein zur Überwachung von Krankheitsrezidiv bei HCC;Drei bis sechs Monate
84;de;Biochemie;2.9 Tumormarker;;Screening von Frauen mit Familiengeschichte von Eierstockkrebs mit CA125;12 Monate
85;de;Biochemie;2.9 Tumormarker;;CA125 in diagnostischen Strategien verwenden;CA125-Nachtestung wenn Bildgebung negativ ist innerhalb eines Monats
86;de;Biochemie;2.9 Tumormarker;;CA125-Überwachung bei Krankheitsrezidiv;Ein Monat
87;de;Biochemie;2.9 Tumormarker;;Überwachung von Krankheitsrezidiv mit CA19.9;Ein Monat
88;de;Biochemie;2.9 Tumormarker;;PSA-Screening;Wenn erstes Ergebnis erhöht ist, einmal in den folgenden 6 Wochen wiederholen um den Trend zu bewerten
89;de;Biochemie;2.9 Tumormarker;;Krankheitsüberwachung mit PSA;Alle drei Monate für die ersten ein bis zwei Jahre Alle sechs Monate für zwei Jahre Jährlich danach
90;de;Biochemie;2.9 Tumormarker;;Überwachung von Krankheitsrezidiv mit CA15.3;Zwei Monate
91;de;Biochemie;2.9 Tumormarker;;Serum β-hCG (Tumormarker);Nach Ausräumung einer Blasenmole sollte die hCG-Konzentration jede Woche überwacht werden bis zur Normalisierung dann jeden Monat während des ersten Jahres
92;de;Biochemie;2.9 Tumormarker;;Serum β-hCG (Tumormarker);Nach Resektion ist verlängerte Marker-Halbwertszeit (>3 Tage für hCG) ein zuverlässiger Indikator für Resttumor und ein signifikanter Prädiktor für Überleben
93;de;Biochemie;2.9 Tumormarker;;Serum β-hCG (Tumormarker);Falls sich die Änderungsrate der Tumormarker-Konzentration in der Geschwindigkeit ändert, ist eine dringende Wiederholung zur Bestätigung des Ergebnisses angemessen
94;de;Biochemie;2.10 Therapeutisches Medikamentenmonitoring;;Antikonvulsiva (Carbamazepin, Phenytoin);Fünf Halbwertszeiten nach Dosisänderung (vier bis fünf Tage) während anfänglicher Dosisoptimierung, außer Toxizität wird vermutet. Die Kinetik von Phenytoin ist zwischen Individuen sehr variabel und wenn der Metabolismus gesättigt ist, führt eine kleine Dosisänderung zu einem unverhältnismäßigen Anstieg der Plasmakonzentration. Es besteht ein signifikantes Überdosierungsrisiko und daher bei Dosistitration bis zu alle 12 Stunden kontrollieren abhängig vom klinischen Zustand und der Therapie. Dies wird bei IV-Therapie für Status epilepticus häufiger sein. Hinweis: Carbamazepin induziert seinen eigenen Metabolismus und Konzentrationen sollten zwei bis drei Monate nach Therapiebeginn bestätigt werden
95;de;Biochemie;2.10 Therapeutisches Medikamentenmonitoring;;Digoxin;Fünf Halbwertszeiten nach Dosisänderung (d.h. etwa sieben Tage) während anfänglicher Dosisoptimierung, außer Toxizität wird vermutet. Wenn sich die Nierenfunktion signifikant geändert hat, die proportionale Abnahme der Clearance erkennen. In Überdosierungssituationen bis zu alle vier Stunden abhängig vom klinischen Zustand und der Therapie
96;de;Biochemie;2.10 Therapeutisches Medikamentenmonitoring;;Aminoglykosid-Antibiotika (Gentamicin, Tobramycin);Alle 24 Stunden zu Therapiebeginn bei hochdosierten parenteralen Regimen, weniger häufig wenn stabil. Besonders wichtig bei älteren Patienten, Patienten mit eingeschränkter Nierenfunktion und denen mit zystischer Fibrose. Dies gilt nur für einmal tägliche Dosierung. Falls Patient mehrere Dosen pro Tag erhält, lokale Leitlinien konsultieren97
98;de;Biochemie;2.10 Therapeutisches Medikamentenmonitoring;;Theophyllin;Fünf Halbwertszeiten nach Dosisänderung (d.h. etwa zwei Tage) während anfänglicher Dosisoptimierung bei oralen Regimen. Hinweis: Rauchen reduziert die Halbwertszeit signifikant. Täglich bei IV-Aminophyllin. In Überdosierungssituationen die Hämodialyse erfordern, alle vier Stunden
99;de;Biochemie;2.10 Therapeutisches Medikamentenmonitoring;;Methotrexat (hochdosiert IV);24 Stunden nach Therapieabschluss dann alle 24 Stunden bis Plasma-Methotrexat unter Cut-off-Konzentration für Toxizität ist (1 mol/L nach 48 Stunden oder gemäß lokalem Protokoll)
100;de;Biochemie;2.10 Therapeutisches Medikamentenmonitoring;;Lithium;Tag vier bis sieben der Behandlung dann jede Woche bis die Dosierung vier Wochen konstant geblieben ist, dann alle drei Monate bei stabilisierten Regimen. Konzentration kontrollieren wenn Präparat geändert wird, wenn sich Flüssigkeitsaufnahme ändert oder wenn interagierende Medikamente zugegeben/abgesetzt werden. 100% renale Clearance, daher abhängig von Nierenfunktion. Bis zu alle vier Stunden in Überdosierungssituationen die intensive Therapie erfordern
101;de;Biochemie;2.10 Therapeutisches Medikamentenmonitoring;;Clozapin;Induziert seinen eigenen Metabolismus und wird durch Rauchen weiter induziert. Etwa vier Tage um neuen Steady-State nach Dosisänderung oder Rauchstopp zu erreichen mit potentiell tödlichen Konsequenzen aufgrund des schnellen Anstiegs zu toxischen Konzentrationen
102;de;Biochemie;2.11 Arbeitsmedizin/Toxikologie;;Berufliche Bleiexposition (chronisch);Anfängliche Blutblei-Konzentration vor Arbeitsbeginn oder innerhalb von 14 Tagen nach Beginn Blutblei-Konzentrationsüberwachung mindestens alle 12 Monate durchgeführt außer signifikanter Exposition gegenüber metallischem Blei und seinen Verbindungen, in diesem Fall sollte Blutblei alle drei Monate gemessen werden Falls Blutblei-Konzentration ≥30 μg/dL bei erwachsenen Männern (≥20 μg/dL bei Frauen im gebärfähigen Alter), mindestens alle sechs Monate überwachen Falls Blutblei-Konzentration ≥40 μg/dL bei erwachsenen Männern (≥25 μg/dL bei Frauen im gebärfähigen Alter), mindestens alle drei Monate überwachen Falls Blutblei-Konzentration ≥60 μg/dL bei erwachsenen Männern (≥30 μg/dL bei Frauen im gebärfähigen Alter), Wiederholungsmessung von Blutblei innerhalb von zwei Wochen
103;de;Biochemie;2.11 Arbeitsmedizin/Toxikologie;;Akute Bleivergiftung bei Erwachsenen;Falls Baseline-Blutblei-Konzentration <50 μg/dL ist und der Patient asymptomatisch und nicht schwanger ist, Blutblei-Konzentration nach zwei Wochen nach Entfernung von der Exposition wiederholen Falls Baseline-Blutblei-Konzentration ≥50 μg/dL ist, Blutblei-Konzentrationen täglich während Chelat-Therapie überwachen und 24-Stunden-Urin-Blei-Ausscheidung messen um bei der Entscheidung über Behandlungsdauer zu helfen. Blutblei-Messung eine Woche nach Ende der Chelat-Behandlung wiederholen
104;de;Biochemie;2.11 Arbeitsmedizin/Toxikologie;;Akute Bleivergiftung bei Kindern;Falls Baseline-Blutblei-Konzentration 10–50 μg/dL ist, Blutblei-Messung einen Monat nach Entfernung von der Exposition wiederholen Falls Baseline-Blutblei-Konzentration >50 μg/dL ist, Blutblei täglich während Chelat-Therapie überwachen und 24-Stunden-Urin-Blei-Ausscheidung messen um bei der Entscheidung über Therapiedauer zu helfen. Blutblei-Messung eine Woche nach Behandlungsende wiederholen
105;de;Biochemie;2.11 Arbeitsmedizin/Toxikologie;;Amphetamin-Toxizität;Nachtestung ist in derselben akuten Episode nicht indiziert
106;de;Biochemie;2.11 Arbeitsmedizin/Toxikologie;;Benzodiazepin-Toxizität;Nachtestung ist in derselben akuten Episode nicht indiziert
107;de;Biochemie;2.11 Arbeitsmedizin/Toxikologie;;Kokain-Toxizität;Nachtestung ist in derselben akuten Episode nicht indiziert
108;de;Biochemie;2.11 Arbeitsmedizin/Toxikologie;;Opiat-Toxizität einschließlich Morphin, Codein und Heroin;Nachtestung ist in derselben akuten Episode nicht indiziert
109;de;Biochemie;2.11 Arbeitsmedizin/Toxikologie;;Opioid-Toxizität einschließlich Methadon;Nachtestung ist in derselben akuten Episode nicht indiziert
